Financial_Year,Date_of_Fund_Release,State,District,Department,Scheme_Name,Fund_Source,Implementing_Agency,Sanctioned_Amount_Lakhs,Fund_Released_Lakhs,Fund_Utilized_Lakhs,Utilization_Percent,Physical_Target_Units,Physical_Achievement_Units,Physical_Achievement_Percent,Beneficiaries_Target,Beneficiaries_Covered,Beneficiary_Coverage_Percent,Status
2024-25,2022-12-04,Kerala,Thiruvananthapuram,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Urban Local Body (ULB),397.38,384.67,345.32,89.77,480,479.0,99.79166666666667,498,517.0,103.81526104417671,Completed
2024-25,2024-05-03,Madhya Pradesh,indore,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Urban Local Body (ULB),580.3,474.41,174.44,81.965,348,16.0,4.597701149425287,728,34.0,4.670329670329671,Delayed
2022-23,2022-07-18,Gujarat,Vadodara,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Gram Panchayat,258.19,246.25,126.48,51.36,232,129.0,55.603448275862064,4333,992.0,22.894068774521116,Ongoing
2021-22,2021-12-06,Tamil Nadu,Madurai,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),State Nodal Agency,751.56,458.24,447.08,97.56,247,245.0,99.19028340080972,1086,1062.0,97.79005524861878,Completed
2022-23,2022-07-09,Rajasthan,Jodhpur,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,District Panchayat / Zilla Parishad,772.41,466.3,174.44,81.965,408,197.0,48.28431372549019,3062,1503.0,49.08556499020248,Ongoing
2024-25,2021-07-10,Kerala,Kochi,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,232.6,154.67,139.86,90.42,32,31.0,96.875,1838,1624.0,88.35690968443961,Completed
2024-25,2024-07-16,Madhya Pradesh,Ujjain,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,707.45,669.81,592.82,88.51,471,470.0,99.78768577494692,133,133.0,100.0,Completed
2023-24,2022-11-13,Kerala,Kollam,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,205.66,196.16,116.46,59.37,174,172.0,98.85057471264368,1734,1719.0,99.13494809688581,Ongoing
2021-22,2023-11-07,Maharashtra,Kolhapur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,138.77,115.72,102.18,88.3,129,117.0,90.69767441860465,3313,2750.0,83.00633866586176,Delayed
2024-25,2022-12-26,Tamil Nadu,Salem,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,425.5,295.02,286.98,97.27,395,395.0,100.0,479,462.0,96.4509394572025,Completed
2023-24,2021-11-11,Rajasthan,Jaipur,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Urban Local Body (ULB),325.46,177.11,174.22,98.37,13,12.0,92.3076923076923,3129,2769.0,88.4947267497603,Completed
2023-24,2021-06-12,West Bengal,Siliguri,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,497.95,405.97,349.19,86.01,453,453.0,100.0,1128,1133.0,100.44326241134752,Completed
2022-23,2023-03-26,Tamil Nadu,Chennai,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,230.5,215.26,208.92,97.05,468,466.0,99.57264957264957,1237,1142.0,92.32012934518997,Completed
2022-23,2024-09-30,Gujarat,Ahmedabad,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,322.36,172.67,155.6,90.11,313,313.0,100.0,304,314.0,103.28947368421053,Completed
2021-22,2023-08-07,Tamil Nadu,Tiruchirappalli,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,320.45,167.85,148.41,88.42,432,431.0,99.76851851851852,3314,3138.0,94.68919734459867,Completed
2022-23,2022-12-04,Uttar Pradesh,Lucknow,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,168.18,90.11,49.43,54.86,498,423.0,84.93975903614458,4639,3661.0,78.91787023065315,Delayed
2024-25,2024-02-27,Kerala,Kochi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,432.8,390.96,230.23,58.89,14,1.0,7.142857142857142,2805,192.0,6.8449197860962565,Delayed
2024-25,2021-08-29,Maharashtra,Kolhapur,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),530.48,451.29,421.0,93.29,298,297.0,99.66442953020133,1815,1817.0,100.11019283746556,Completed
2024-25,2023-01-15,Maharashtra,Kolhapur,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,684.93,422.09,391.66,92.79,37,34.0,91.8918918918919,530,1202.0,226.7924528301887,Ongoing
2023-24,2022-09-28,Karnataka,Belagavi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),State Nodal Agency,343.13,176.48,160.3,90.83,462,462.0,100.0,1936,1938.0,100.10330578512396,Completed
2021-22,2022-12-15,West Bengal,Durgapur,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,98.79,70.51,29.02,41.16,177,153.0,86.4406779661017,4651,3920.0,84.28294990324662,Ongoing
2024-25,2024-10-09,Bihar,Darbhanga ,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,643.54,435.82,145.02,33.28,347,196.0,56.48414985590778,1768,916.0,51.80995475113123,Ongoing
2022-23,2022-07-09,Uttar Pradesh,Varanasi,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),NGO / Partner Organisation,53.07,47.23,45.99,97.37,470,468.0,99.57446808510639,1659,1497.0,90.23508137432188,Completed
2023-24,2023-09-29,West Bengal,Siliguri,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),Gram Panchayat,128.51,114.53,105.28,91.92,429,80.0,18.64801864801865,475,86.0,18.10526315789474,Ongoing
2024-25,2024-05-23,West Bengal,howrah,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,NGO / Partner Organisation,625.71,379.88,241.89,63.68,123,21.0,17.073170731707318,874,1202.0,137.52860411899312,Ongoing
2023-24,2022-09-18,Kerala,Kozhikode,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,562.14,285.0,207.18,72.69,137,25.0,18.248175182481752,1978,1202.0,60.76845298281091,Delayed
2024-25,2022-05-21,Bihar,Muzaffarpur ,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),730.31,474.51,402.79,84.89,304,110.0,36.18421052631579,2757,993.0,36.01741022850925,Ongoing
2021-22,2021-10-30,Tamil Nadu,salem,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,259.19,233.05,198.33,85.1,332,331.0,99.69879518072288,2113,1938.0,91.71793658305727,Completed
2021-22,2022-05-27,Tamil Nadu,Tiruchirappalli,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,713.69,366.69,335.24,91.42,445,443.0,99.5505617977528,1142,1113.0,97.46059544658495,Completed
2024-25,2021-11-12,West Bengal,Howrah,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,705.27,353.46,267.19,75.59,437,188.0,43.02059496567506,4212,1673.0,39.71984805318139,Ongoing
2022-23,2024-04-18,West Bengal,Siliguri,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,28.82,23.76,20.8,87.54,72,72.0,100.0,4062,3775.0,92.93451501723288,Completed
2024-25,2023-01-09,West Bengal,Asansol,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,619.06,471.88,189.94,40.25,372,226.0,60.752688172043015,4756,2813.0,59.14634146341463,Ongoing
2021-22,2025-01-26,Maharashtra,Pune,Ministry of Health & Family Welfare,National Health Mission,Centrally Sponsored (60:40),Urban Local Body (ULB),770.35,486.62,218.14,44.83,412,380.0,92.23300970873787,2462,2093.0,85.01218521527214,Delayed
2022-23,2024-05-20,Uttar Pradesh,Meerut,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),761.37,564.02,440.95,78.18,98,74.0,75.51020408163265,2580,1880.0,72.86821705426357,Delayed
2021-22,2024-07-07,Tamil Nadu,Chennai,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),State Nodal Agency,52.7,41.38,0.0,0.0,182,0.0,0.0,2620,0.0,0.0,Not Started
2024-25,2023-03-10,Uttar Pradesh,Lucknow,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),32.95,31.97,26.51,82.92,142,71.0,50.0,2487,1165.0,46.84358665058303,Ongoing
2022-23,2021-12-31,West Bengal,Asansol ,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,Gram Panchayat,315.44,227.53,174.02,76.48,311,107.0,34.40514469453376,4655,1609.0,34.56498388829216,Delayed
2024-25,2021-08-03,Uttar Pradesh,Lucknow,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),693.7,477.17,0.0,0.0,56,0.0,0.0,3474,0.0,0.0,Not Started
2022-23,2024-08-13,Gujarat,Surat,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,319.78,213.84,175.16,81.91,21,18.0,85.71428571428571,2032,1622.0,79.82283464566929,Delayed
2024-25,2023-08-30,Madhya Pradesh,Jabalpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,322.39,308.52,307.57,99.69,71,70.0,98.59154929577466,2301,2302.0,100.04345936549326,Completed
2023-24,2023-02-01,Kerala,Thrissur,Ministry of Agriculture & Farmers Welfare,PM Kisan Samman Nidhi,Central Sector,District Panchayat / Zilla Parishad,596.28,315.51,243.68,77.23,168,153.0,91.07142857142857,3024,2512.0,83.06878306878306,Ongoing
2022-23,2023-02-24,Rajasthan,Kota,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,335.57,261.33,86.15,32.97,427,422.0,98.82903981264637,647,585.0,90.41731066460588,Ongoing
2024-25,2024-06-30,Tamil Nadu,Salem,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,34.31,25.73,0.0,0.0,157,0.0,0.0,2000,0.0,0.0,Not Started
2024-25,2021-11-26,Uttar Pradesh,Meerut,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,436.62,424.34,385.37,90.82,482,480.0,99.5850622406639,1241,1194.0,96.21273166800967,Completed
2021-22,2024-02-16,Tamil Nadu,Coimbatore,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,694.41,603.02,436.61,72.4,137,21.0,15.328467153284672,2424,362.0,14.933993399339935,Ongoing
2023-24,2021-11-13,Rajasthan,Ajmer,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,425.05,242.35,0.0,0.0,80,0.0,0.0,2538,0.0,0.0,Not Started
2023-24,2024-02-09,Gujarat,Surat,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),State Nodal Agency,263.98,135.29,127.66,94.36,35,35.0,100.0,2369,2388.0,100.80202617138032,Completed
2021-22,2022-05-14,Karnataka,mangaluru,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,NGO / Partner Organisation,421.13,409.08,332.18,81.2,472,175.0,37.07627118644068,4824,1868.0,38.72305140961858,Ongoing
2022-23,2022-09-23,Maharashtra,nashik,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,Gram Panchayat,290.0,218.17,108.41,49.69,214,92.0,42.99065420560748,4939,2182.0,44.178983599919015,Delayed
2022-23,2022-09-01,Bihar,Muzaffarpur,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,State Nodal Agency,797.82,754.76,732.58,97.06,166,129.0,77.71084337349397,892,878.0,98.4304932735426,Completed
2023-24,2023-03-23,Bihar,Bhagalpur,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Urban Local Body (ULB),562.01,519.44,294.53,56.7,374,106.0,28.342245989304814,3342,962.0,28.785158587672054,Ongoing
2023-24,2021-07-21,West Bengal,Siliguri,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),State Nodal Agency,734.45,647.52,623.61,96.31,394,393.0,99.74619289340102,2555,2455.0,96.08610567514677,Completed
2023-24,2023-09-20,Tamil Nadu, Salem,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,660.81,390.49,347.04,88.87,158,158.0,100.0,3460,3237.0,93.55491329479769,Completed
2022-23,2024-10-31,Kerala,Kozhikode,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,272.3,162.79,111.39,68.43,224,49.0,21.875,4721,1018.0,21.56322812963355,Delayed
2021-22,2022-12-13,Karnataka,Bengaluru,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),State Nodal Agency,724.15,576.13,566.84,98.39,66,65.0,98.48484848484848,1316,1314.0,99.84802431610942,Completed
2021-22,2022-07-25,Karnataka,Hubballi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),State Nodal Agency,434.36,286.08,239.14,83.59,247,32.0,12.955465587044534,1668,222.0,13.309352517985612,Delayed
2023-24,2021-06-26,Maharashtra,Nashik,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,623.04,399.22,384.17,96.23,348,347.0,99.71264367816092,4957,4560.0,91.99112366350616,Completed
2024-25,2022-09-06,Gujarat,Bhavnagar,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,375.61,360.29,174.44,81.965,236,98.0,41.52542372881356,2276,862.0,37.87346221441125,Delayed
2021-22,2024-03-25,Uttar Pradesh,Agra,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,173.89,115.8,43.18,37.29,157,104.0,66.2420382165605,3164,1930.0,60.99873577749684,Ongoing
2024-25,2022-10-03,Tamil Nadu,Chennai,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,746.42,692.0,642.81,92.89,437,437.0,100.0,2732,2487.0,91.03221083455344,Completed
2022-23,2021-11-22,Madhya Pradesh,Indore,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),Gram Panchayat,302.84,238.88,235.53,98.6,218,216.0,99.08256880733946,1134,1096.0,96.64902998236332,Completed
2023-24,2025-02-07,Gujarat,Surat,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,240.26,194.1,115.61,59.56,452,74.0,16.371681415929203,2126,327.0,15.380997177798683,Ongoing
2022-23,2021-09-29,West Bengal,Siliguri,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),435.14,296.34,279.76,94.41,476,475.0,99.78991596638656,3244,3040.0,93.711467324291,Completed
2022-23,2023-10-06,Karnataka,Mangaluru,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),Gram Panchayat,130.37,74.73,63.81,85.39,423,421.0,99.52718676122932,3966,3967.0,100.02521432173475,Completed
2022-23,2024-04-23,Tamil Nadu,Chennai ,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),State Nodal Agency,363.33,209.6,200.54,95.68,21,19.0,90.47619047619048,4870,4428.0,90.92402464065708,Completed
2024-25,2022-12-23,Rajasthan,Jaipur,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Gram Panchayat,205.72,145.28,73.22,50.4,168,64.0,38.095238095238095,3710,1324.0,35.687331536388136,Delayed
2022-23,2024-02-24,Madhya Pradesh,jabalpur,Ministry of Health & Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,277.3,204.71,192.86,94.21,405,404.0,99.75308641975309,1494,1389.0,92.9718875502008,Completed
2023-24,2024-07-12,Tamil Nadu,Salem,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),Urban Local Body (ULB),43.11,29.86,13.44,45.01,37,15.0,40.54054054054054,1815,695.0,38.29201101928375,Ongoing
2023-24,2022-01-18,West Bengal,Durgapur,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,District Panchayat / Zilla Parishad,656.58,636.3,557.13,87.56,13,8.0,61.53846153846154,627,1202.0,191.70653907496015,Ongoing
2024-25,2022-04-23,Gujarat,surat,Ministry of Agriculture & Farmers Welfare,Pradhan Mantri Fasal Bima Yojana,Central Sector,Gram Panchayat,451.21,228.39,0.0,0.0,354,0.0,0.0,1902,0.0,0.0,Not Started
2024-25,2023-07-22,Maharashtra,Nagpur,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,481.51,388.58,334.5,86.08,238,154.0,64.70588235294117,2569,1570.0,61.113273647333585,Delayed
2023-24,2023-03-22,Rajasthan,Jaipur,Ministry of Jal Shakti,Jal Jeevan Mission,Centrally Sponsored (90:10),District Panchayat / Zilla Parishad,728.12,693.03,650.44,93.85,12,12.0,100.0,196,204.0,104.08163265306123,Completed
2022-23,2021-11-02,Tamil Nadu,madurai,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),District Panchayat / Zilla Parishad,168.8,149.19,52.7,35.32,495,347.0,70.1010101010101,4634,3085.0,66.573154941735,Ongoing
2024-25,2022-08-03,Uttar Pradesh, Varanasi,Ministry of Rural Development,Pradhan Mantri Gram Sadak Yojana,Centrally Sponsored (60:40),Gram Panchayat,306.39,299.26,290.91,97.21,235,77.0,32.76595744680851,2669,827.0,30.985387785687525,Ongoing
2024-25,2022-05-12,Uttar Pradesh,Lucknow,Ministry of Education,Samagra Shiksha Abhiyan,Centrally Sponsored (60:40),State Nodal Agency,308.2,189.95,174.44,81.965,279,129.0,46.236559139784944,2759,2777.0,100.65241029358462,Completed
2024-25,2022-01-30,Rajasthan,Ajmer,Ministry of Education,PM Poshan (Mid-Day Meal Scheme),Centrally Sponsored (60:40),State Nodal Agency,394.78,226.82,214.51,94.57,261,260.0,99.61685823754789,1539,1540.0,100.06497725795971,Completed
2023-24,2025-02-23,Rajasthan,Jaipur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Gram Panchayat,622.42,340.29,291.36,85.62,71,69.0,97.1830985915493,2503,2396.0,95.72512984418697,Completed
2022-23,2022-03-09,Uttar Pradesh,Meerut,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),NGO / Partner Organisation,468.07,292.17,260.18,89.05,498,497.0,99.79919678714859,3215,3017.0,93.84136858475894,Completed
2022-23,2023-03-15,Tamil Nadu,Chennai,Ministry of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,Centrally Sponsored (60:40),Gram Panchayat,152.99,111.31,35.53,31.92,190,103.0,54.21052631578947,4171,2261.0,54.2076240709662,Ongoing
2024-25,2021-06-02,Tamil Nadu,Madurai,Ministry of Rural Development,Pradhan Mantri Awas Yojana - Gramin,Centrally Sponsored (60:40),Gram Panchayat,481.75,416.61,201.09,48.27,198,168.0,84.84848484848484,1075,911.0,84.74418604651163,Ongoing
2022-23,2022-04-22,Kerala,Thrissur,Ministry of Jal Shakti,Swachh Bharat Mission - Gramin,Centrally Sponsored (60:40),Urban Local Body (ULB),711.27,431.68,401.61,93.03,227,100.0,44.052863436123346,3991,1705.0,42.72112252568279,Ongoing
